rebalance_date,signal_date,entry_date,holdings,n_holdings,n_sold,n_bought,turnover_est,cost,skipped_no_hold_dates
2022-07-29,2022-07-29,2022-08-01,"['AMD', 'NFLX', 'NVDA', 'FAST', 'AVGO', 'MU', 'SBUX', 'AMAT', 'EBAY', 'ORCL']",10,5,5,1.0,0.001,False
2022-08-12,2022-08-12,2022-08-15,"['NFLX', 'NVDA', 'SBUX', 'LRCX', 'CRM', 'INTC', 'EBAY', 'AMZN', 'GOOGL', 'GILD']",10,6,6,1.2,0.0012,False
2022-08-26,2022-08-26,2022-08-29,"['AMZN', 'GILD', 'AAPL', 'GOOGL', 'NFLX', 'SBUX', 'FAST', 'MNST', 'META', 'QCOM']",10,5,5,1.0,0.001,False
2022-09-12,2022-09-12,2022-09-13,"['NVDA', 'INTC', 'MSFT', 'FAST', 'AMAT', 'QCOM', 'GOOGL', 'NFLX', 'AMD', 'LRCX']",10,6,6,1.2,0.0012,False
2022-09-26,2022-09-26,2022-09-27,"['ADBE', 'NVDA', 'AMZN', 'GOOGL', 'NFLX', 'INTC', 'FAST', 'SBUX', 'ORCL', 'AMD']",10,4,4,0.8,0.0008,False
2022-10-10,2022-10-10,2022-10-11,"['AMZN', 'NVDA', 'AAPL', 'NFLX', 'INTC', 'ADBE', 'FAST', 'ORCL', 'META', 'MSFT']",10,3,3,0.6,0.0006,False
2022-10-24,2022-10-24,2022-10-25,"['AMD', 'NVDA', 'FAST', 'AMZN', 'MSFT', 'PANW', 'AVGO', 'EBAY', 'LRCX', 'GILD']",10,6,6,1.2,0.0012,False
2022-11-07,2022-11-07,2022-11-08,"['GOOGL', 'META', 'MSFT', 'FAST', 'INTC', 'AAPL', 'AMZN', 'VRTX', 'NFLX', 'LRCX']",10,6,6,1.2,0.0012,False
2022-11-21,2022-11-21,2022-11-22,"['INTC', 'EBAY', 'MU', 'META', 'AMZN', 'GOOGL', 'NVDA', 'LRCX', 'MSFT', 'ODFL']",10,4,4,0.8,0.0008,False
2022-12-06,2022-12-06,2022-12-07,"['AMZN', 'NVDA', 'MSFT', 'AAPL', 'META', 'AVGO', 'QCOM', 'GOOGL', 'FAST', 'ODFL']",10,4,4,0.8,0.0008,False
2022-12-20,2022-12-20,2022-12-21,"['NFLX', 'NVDA', 'LRCX', 'ISRG', 'FAST', 'CRM', 'MSFT', 'MU', 'AMAT', 'ORCL']",10,7,7,1.4,0.0014,False
2023-01-20,2023-01-20,2023-01-23,"['GILD', 'AVGO', 'SBUX', 'LRCX', 'AMGN', 'MDLZ', 'ORCL', 'FAST', 'EBAY', 'PEP']",10,7,7,1.4,0.0014,False
2023-02-03,2023-02-03,2023-02-06,"['AVGO', 'FAST', 'MNST', 'SBUX', 'PEP', 'NFLX', 'MDLZ', 'VRTX', 'GILD', 'AMGN']",10,3,3,0.6,0.0006,False
2023-02-17,2023-02-17,2023-02-21,"['GILD', 'SBUX', 'MNST', 'ORCL', 'NFLX', 'FAST', 'MDLZ', 'PEP', 'AVGO', 'AMGN']",10,1,1,0.2,0.0002,False
2023-03-06,2023-03-06,2023-03-07,"['GILD', 'ORCL', 'SBUX', 'NFLX', 'MDLZ', 'AVGO', 'AMGN', 'MNST', 'CDNS', 'PEP']",10,1,1,0.2,0.0002,False
2023-03-20,2023-03-20,2023-03-21,"['SBUX', 'MNST', 'EBAY', 'MDLZ', 'ORCL', 'LRCX', 'GILD', 'FAST', 'NFLX', 'PANW']",10,4,4,0.8,0.0008,False
2023-04-03,2023-04-03,2023-04-04,"['GILD', 'NFLX', 'MDLZ', 'EBAY', 'PEP', 'FAST', 'MNST', 'NVDA', 'SBUX', 'ORCL']",10,2,2,0.4,0.0004,False
2023-04-18,2023-04-18,2023-04-19,"['NVDA', 'FAST', 'MDLZ', 'PAYX', 'META', 'GILD', 'AMD', 'ODFL', 'MNST', 'MU']",10,5,5,1.0,0.001,False
2023-05-02,2023-05-02,2023-05-03,"['PANW', 'FAST', 'NVDA', 'MDLZ', 'PEP', 'GILD', 'ORCL', 'ODFL', 'EBAY', 'CRM']",10,5,5,1.0,0.001,False
