,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Calmar,VaR_95,Win_Rate,Avg_Daily_Ret,Std_Daily_Ret,N_Days
ML_Full,3.574102161700874,0.28494160991688,0.9459119160138705,1.292666231494388,-0.2415471993375954,1.1796518887334932,-0.023989866749307902,0.5447154471544715,0.0011769659782249538,0.01713995820757031,1476.0
ML_Base,2.8794270776144084,0.2505090690712972,0.8845177937959026,1.2011676750113494,-0.23938629423753244,1.046463707829188,-0.02273389148101884,0.5521680216802168,0.001046222697158037,0.015983178138311748,1476.0
Buy&Hold,3.267840063505865,0.27034103136486176,0.8885939109874706,1.2201306349746974,-0.3546391281848503,0.7622989396250448,-0.028215855173517712,0.5670731707317073,0.001137468706484686,0.01753994796144685,1476.0
