top_k,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Calmar,VaR_95,Win_Rate,Avg_Daily_Ret,Std_Daily_Ret,N_Days
3,5.577102774486214,0.36424577538458824,1.020885776175428,1.5066988621389077,-0.2816528690049577,1.29324361818653,-0.02922739361900223,0.5271002710027101,0.0014908272061474252,0.020761659859278563,1476
5,2.956550615652027,0.25457487058148454,0.8140056905327758,1.1949091361681101,-0.21149665554345887,1.203682724567594,-0.026472926120774287,0.535230352303523,0.0011010765293068335,0.018437442427301654,1476
8,3.371103662735133,0.2753590291233621,0.8967088428008835,1.2420319312840824,-0.24842029753898942,1.108440138955009,-0.02535154372827555,0.5433604336043361,0.0011560162116396162,0.01770956492908015,1476
10,3.574102161700874,0.28494160991688,0.9459119160138705,1.292666231494388,-0.2415471993375954,1.1796518887334932,-0.023989866749307902,0.5447154471544715,0.0011769659782249538,0.01713995820757031,1476
12,3.157766693953543,0.2648792124035255,0.9003516038954921,1.225756314763533,-0.24592385783385462,1.077078144172889,-0.024356341502123863,0.5426829268292683,0.0011056760724986435,0.016750343392540567,1476
15,2.861147992692327,0.24953554596906602,0.8625955872319442,1.1764779479586445,-0.2564056261238321,0.9732062035508996,-0.024424045154044463,0.5494579945799458,0.0010509467524387713,0.016476316048716456,1476
