,Information_Ratio,t_stat_alpha,p_value_alpha,Avg_Annual_Alpha,Tracking_Error_Annual,N_Days,Alpha_Test_Method
ML_Full,0.06973211557896022,0.17374703050347418,0.8620642746093019,0.009953312478547532,0.1427364191650981,1476,HAC_mean_alpha_maxlags=5
ML_Base,-0.15815720131225663,-0.39635697949738496,0.6918416981443228,-0.02299399435031554,0.14538695778333546,1476,HAC_mean_alpha_maxlags=5
