,N_Rebalances,Avg_Holdings,Avg_N_Sold,Avg_N_Bought,Avg_Turnover_Est,Avg_Cost_Per_Rebalance,Pct_Full_Refresh
ML_Full,142.0,9.971830985915492,4.964788732394366,5.035211267605634,1.0022691705790296,0.0010022691705790297,0.0
ML_Base,142.0,9.97887323943662,4.732394366197183,4.802816901408451,0.9549687010954616,0.0009549687010954617,0.0
