cost_bps,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Calmar,VaR_95,Win_Rate,Avg_Daily_Ret,Std_Daily_Ret,N_Days
0,4.2741159724470865,0.3154711877847547,1.0357045206217266,1.4111087923986023,-0.23897972968211534,1.3200750883950967,-0.023897720474064233,0.5494579945799458,0.001273413287345985,0.01713224565748023,1476
5,3.9117503633635966,0.3001209942707781,0.9908390240788363,1.3522104774780732,-0.24010334282252388,1.2499659136050314,-0.023989866749307902,0.5460704607046071,0.0012251896327854707,0.017135394427941396,1476
10,3.574102161700874,0.28494160991688,0.9459119160138705,1.292666231494388,-0.2415471993375954,1.1796518887334932,-0.023989866749307902,0.5447154471544715,0.0011769659782249538,0.01713995820757031,1476
15,3.2594976000366627,0.2699312258983726,0.9009344281448061,1.2324213625189804,-0.242989261277483,1.1108771823052834,-0.023989866749307902,0.5447154471544715,0.0011287423236644402,0.01714593586645668,1476
20,2.9663754234670012,0.2550880515795597,0.8559178088338564,1.1720541090489776,-0.24442952973851906,1.0436057044844078,-0.023989866749307902,0.5440379403794038,0.0010805186691039228,0.01715332592645785,1476
30,2.438851220640228,0.2258962594052305,0.7658121687395782,1.0512824354474168,-0.247304690609369,0.9134329755275274,-0.023989866749307902,0.540650406504065,0.0009840713599828929,0.017172335607434214,1476
