model,daily_auc_mean,daily_auc_std,top_k_mean,top_k_std
LR,0.5203109369457449,0.03664796593721765,0.0029873461850986353,0.004485866302678767
RF,0.5149065661877211,0.03023498324032372,0.003149396395712305,0.004070094882626709
XGB,0.5123264409232271,0.029687199821626306,0.0025067931850250025,0.003627882412182798
