strategy,Information_Ratio,t_stat_alpha,p_value_alpha,Avg_Annual_Alpha,Tracking_Error_Annual,N_Days,Alpha_Test_Method
ML_Full,0.0697321155789602,0.1737470305034741,0.8620642746093019,0.0099533124785475,0.1427364191650981,1476,HAC_mean_alpha_maxlags=5
ML_Base,-0.1581572013122566,-0.3963569794973849,0.6918416981443228,-0.0229939943503155,0.1453869577833354,1476,HAC_mean_alpha_maxlags=5
