date,strategy,equity,cum_return,drawdown,daily_ret,gross_ret,cost_ret,is_entry_day,rebalance_date,signal_date,year,month_num,month,quarter,year_quarter,day_of_week,days_since_start
2020-02-03,Buy&Hold,10118.49032613924,0.011849032613924004,0.0,0.011849032613924004,0.011849032613924004,0.0,False,,,2020,2,2020-02,Q1,2020-Q1,Monday,0
2020-02-03,ML_Base,10053.304372594997,0.005330437259499776,0.0,0.005330437259499776,0.006336774033533321,-0.0010063367740335448,True,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Monday,0
2020-02-03,ML_Full,10037.143269871696,0.0037143269871695583,0.0,0.0037143269871695583,0.00471904603320279,-0.0010047190460332313,True,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Monday,0
2020-02-04,Buy&Hold,10419.792231699328,0.041979223169932744,0.0,0.029777357673775873,0.029777357673775873,0.0,False,,,2020,2,2020-02,Q1,2020-Q1,Tuesday,1
2020-02-04,ML_Base,10238.147342278238,0.023814734227823875,0.0,0.018386290003028015,0.018386290003028015,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Tuesday,1
2020-02-04,ML_Full,10222.945430611819,0.022294543061181837,0.0,0.018511458464266495,0.018511458464266495,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Tuesday,1
2020-02-05,Buy&Hold,10428.446086947033,0.04284460869470341,0.0,0.0008305209024588311,0.0008305209024588311,0.0,False,,,2020,2,2020-02,Q1,2020-Q1,Wednesday,2
2020-02-05,ML_Base,10364.277109258217,0.036427710925821755,0.0,0.012319588961093409,0.012319588961093409,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Wednesday,2
2020-02-05,ML_Full,10344.225826727275,0.034422582672727575,0.0,0.011863547246598095,0.011863547246598095,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Wednesday,2
2020-02-06,Buy&Hold,10522.0278015296,0.05220278015296009,0.0,0.00897369692496186,0.00897369692496186,0.0,False,,,2020,2,2020-02,Q1,2020-Q1,Thursday,3
2020-02-06,ML_Base,10505.681253056448,0.050568125305644696,0.0,0.013643415966938743,0.013643415966938743,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Thursday,3
2020-02-06,ML_Full,10487.007613058991,0.048700761305899176,0.0,0.013803042269514143,0.013803042269514143,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Thursday,3
2020-02-07,Buy&Hold,10452.77740511409,0.04527774051140887,-0.0065814686790167665,-0.0065814686790167665,-0.0065814686790167665,0.0,False,,,2020,2,2020-02,Q1,2020-Q1,Friday,4
2020-02-07,ML_Base,10429.833939866281,0.042983393986628204,-0.007219647290184095,-0.007219647290184083,-0.007219647290184083,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Friday,4
2020-02-07,ML_Full,10454.295236002661,0.0454295236002662,-0.003119324240367205,-0.0031193242403672492,-0.0031193242403672492,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Friday,4
2020-02-10,Buy&Hold,10571.670223921226,0.05716702239212257,0.0,0.011374280174470064,0.011374280174470064,0.0,False,,,2020,2,2020-02,Q1,2020-Q1,Monday,7
2020-02-10,ML_Base,10520.459260752192,0.05204592607521907,0.0,0.00868904734326712,0.00868904734326712,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Monday,7
2020-02-10,ML_Full,10531.188764955015,0.05311887649550151,0.0,0.007355209243330552,0.007355209243330552,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Monday,7
2020-02-11,Buy&Hold,10624.3313330998,0.06243313330998013,0.0,0.00498134240504533,0.00498134240504533,0.0,False,,,2020,2,2020-02,Q1,2020-Q1,Tuesday,8
2020-02-11,ML_Base,10567.878130624036,0.05678781306240355,0.0,0.0045073003655597965,0.0045073003655597965,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Tuesday,8
2020-02-11,ML_Full,10556.427769469143,0.05564277694691433,0.0,0.0023965959662707427,0.0023965959662707427,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Tuesday,8
2020-02-13,Buy&Hold,10755.827678208709,0.07558276782087092,0.0,0.012376905518678205,0.012376905518678205,0.0,False,,,2020,2,2020-02,Q1,2020-Q1,Thursday,10
2020-02-13,ML_Base,10675.210573234615,0.06752105732346148,0.0,0.010156479974872812,0.010156479974872812,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Thursday,10
2020-02-13,ML_Full,10689.037363727717,0.0689037363727718,0.0,0.012561976186878465,0.012561976186878465,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Thursday,10
2020-02-14,Buy&Hold,10799.449578820471,0.07994495788204703,0.0,0.0040556526114805536,0.0040556526114805536,0.0,False,,,2020,2,2020-02,Q1,2020-Q1,Friday,11
2020-02-14,ML_Base,10685.049719795134,0.06850497197951344,0.0,0.000921681731055346,0.000921681731055346,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Friday,11
2020-02-14,ML_Full,10695.686087679733,0.06956860876797322,0.0,0.0006220133512282455,0.0006220133512282455,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Friday,11
2020-02-20,Buy&Hold,10854.553063652344,0.08545530636523435,0.0,0.005102434566659708,0.005102434566659708,0.0,False,,,2020,2,2020-02,Q1,2020-Q1,Thursday,17
2020-02-20,ML_Base,10674.3854491975,0.06743854491974988,-0.0009980553088000388,-0.0009980553088000832,-0.0009980553088000832,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Thursday,17
2020-02-20,ML_Full,10718.192264796664,0.07181922647966643,0.0,0.0021042293998190355,0.0021042293998190355,0.0,False,2020-01-31,2020-01-31,2020,2,2020-02,Q1,2020-Q1,Thursday,17
