model,daily_auc_mean,daily_auc_std,top_k_mean,top_k_std,strategy,feature_set
LR,0.5202893637558147,0.0366505714004671,0.0029837737257104,0.0044877729191991,ML_Full,Full
RF,0.5149065661877211,0.0302349832403237,0.0031493963957123,0.0040700948826267,ML_Full,Full
XGB,0.5123264409232271,0.0296871998216263,0.002506793185025,0.0036278824121827,ML_Full,Full
